sequence_id,split,label,sequence_length,source_row_index
allergen_2182,train,1,133,0
allergen_2558,train,1,461,1
allergen_974,train,1,279,2
allergen_1307,train,1,26,3
allergen_3131,train,1,192,4
allergen_3487,train,1,138,5
allergen_2210,train,1,98,6
allergen_2303,train,1,135,7
allergen_2172,train,1,133,8
allergen_1879,train,1,150,9
allergen_2471,train,1,14,10
allergen_3064,train,1,147,11
allergen_3287,train,1,242,12
allergen_212,train,1,160,13
allergen_1907,train,1,152,14
allergen_2775,train,1,215,15
allergen_3119,train,1,327,16
allergen_1444,train,1,160,17
allergen_2273,train,1,439,18
allergen_2778,train,1,190,19
allergen_481,train,1,159,20
allergen_1848,train,1,132,21
allergen_227,train,1,303,22
allergen_2425,train,1,124,23
allergen_1239,train,1,295,24
allergen_954,train,1,153,25
allergen_3183,train,1,246,26
allergen_1992,train,1,284,27
allergen_1536,train,1,129,28
allergen_78,train,1,479,29
allergen_2622,train,1,160,30
allergen_1529,train,1,222,31
allergen_1685,train,1,131,32
allergen_68,train,1,167,33
allergen_1985,train,1,115,34
allergen_3004,train,1,327,35
allergen_479,train,1,159,36
allergen_2678,train,1,160,37
allergen_3062,train,1,450,38
allergen_3266,train,1,240,39
allergen_1508,train,1,265,40
allergen_3302,train,1,110,41
allergen_1804,train,1,163,42
allergen_415,train,1,246,43
allergen_951,train,1,92,44
allergen_229,train,1,159,45
allergen_2880,train,1,302,46
allergen_2536,train,1,284,47
allergen_1469,train,1,301,48
allergen_3265,train,1,240,49
allergen_230,train,1,264,50
allergen_2206,train,1,69,51
allergen_2598,train,1,32,52
allergen_2488,train,1,12,53
allergen_898,train,1,151,54
allergen_910,train,1,154,55
allergen_763,train,1,153,56
allergen_857,train,1,643,57
allergen_298,train,1,91,58
allergen_1034,train,1,107,59
allergen_778,train,1,191,60
allergen_1637,train,1,225,61
allergen_1710,train,1,242,62
allergen_1876,train,1,150,63
allergen_941,train,1,369,64
allergen_1420,train,1,267,65
allergen_3355,train,1,343,66
allergen_2631,train,1,118,67
allergen_1077,train,1,594,68
allergen_1065,train,1,502,69
allergen_2080,train,1,117,70
allergen_1237,train,1,143,71
allergen_2223,train,1,637,72
allergen_2314,train,1,233,73
allergen_3242,train,1,394,74
allergen_124,train,1,202,75
allergen_601,train,1,228,76
allergen_2849,train,1,308,77
allergen_1093,train,1,163,78
allergen_322,train,1,172,79
allergen_96,train,1,160,80
allergen_3326,train,1,65,81
allergen_1121,train,1,107,82
allergen_3011,train,1,147,83
allergen_719,train,1,138,84
allergen_3318,train,1,84,85
allergen_1460,train,1,397,86
allergen_2507,train,1,22,87
allergen_281,train,1,138,88
allergen_1763,train,1,160,89
allergen_1131,train,1,210,90
allergen_2030,train,1,140,91
allergen_682,train,1,82,92
allergen_1975,train,1,160,93
allergen_794,train,1,160,94
allergen_983,train,1,120,95
allergen_3234,train,1,430,96
allergen_1378,train,1,136,97
allergen_26,train,1,151,98
allergen_3522,train,1,26,99
allergen_241,train,1,131,100
allergen_2444,train,1,318,101
allergen_28,train,1,151,102
allergen_53,train,1,397,103
allergen_772,train,1,150,104
allergen_1939,train,1,500,105
allergen_3547,train,1,284,106
allergen_1716,train,1,35,107
allergen_723,train,1,356,108
allergen_1143,train,1,132,109
allergen_3296,train,1,240,110
allergen_245,train,1,161,111
allergen_2137,train,1,213,112
allergen_3377,train,1,180,113
allergen_2659,train,1,129,114
