accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k
Q40963,284,0.5492957746478874,156,Baseline (04),attention_weights,0.2302183493589743,0.398685426728973,0.3910256326198578
Q40963,284,0.5492957746478874,156,Baseline (04),integrated_gradients,0.4972455929487179,0.510385962424417,0.557692289352417
Q40963,284,0.5492957746478874,156,Baseline (04),random_mean,0.4989758613782051,0.5585535759805507,0.5489102590084076
Q9XF24,301,0.6478405315614618,195,Baseline (04),attention_weights,0.1451378809869375,0.4647458634136924,0.4974358975887298
Q9XF24,301,0.6478405315614618,195,Baseline (04),integrated_gradients,0.3680212868892114,0.5390092501338428,0.620512843132019
Q9XF24,301,0.6478405315614618,195,Baseline (04),random_mean,0.4958030962747943,0.6514207303730469,0.6447692519426346
Q40962,286,0.513986013986014,147,Baseline (04),attention_weights,0.3186022610483042,0.3977352157211927,0.3945578336715698
Q40962,286,0.513986013986014,147,Baseline (04),integrated_gradients,0.344247051338521,0.4071195541169904,0.4353741407394409
Q40962,286,0.513986013986014,147,Baseline (04),random_mean,0.5018244995840062,0.5220885517025073,0.5169387766718865
P22286,307,0.749185667752443,230,Baseline (04),attention_weights,0.23613777526821,0.6083528023466139,0.699999988079071
P22286,307,0.749185667752443,230,Baseline (04),integrated_gradients,0.350197628458498,0.6465518449463196,0.7217391133308411
P22286,307,0.749185667752443,230,Baseline (04),random_mean,0.4953608130999435,0.7512349090548247,0.7481304335594178
A0A6A6KLF9,151,0.9668874172185432,146,Baseline (04),attention_weights,0.6821917808219178,0.98622641389968,0.965753436088562
A0A6A6KLF9,151,0.9668874172185432,146,Baseline (04),integrated_gradients,0.1671232876712328,0.9208277033870932,0.965753436088562
A0A6A6KLF9,151,0.9668874172185432,146,Baseline (04),random_mean,0.5031917808219178,0.9671901898472218,0.96705480158329
O81342,295,0.6,177,Baseline (04),attention_weights,0.2914392415972421,0.4741964426227296,0.4858756959438324
O81342,295,0.6,177,Baseline (04),integrated_gradients,0.3664655750263335,0.4994891549232333,0.5649717450141907
O81342,295,0.6,177,Baseline (04),random_mean,0.4969137221105046,0.6062115098821641,0.598022598028183
A0A834K244,251,0.549800796812749,138,Baseline (04),attention_weights,0.534179812748493,0.5538621932467243,0.5579710006713867
A0A834K244,251,0.549800796812749,138,Baseline (04),integrated_gradients,0.4095806079261254,0.4900391012000532,0.4927536249160766
A0A834K244,251,0.549800796812749,138,Baseline (04),random_mean,0.4988880338591767,0.557142035043221,0.5478260761499405
P02229,151,0.9006622516556292,136,Baseline (04),attention_weights,0.1985294117647058,0.8184396333656111,0.8897058963775635
P02229,151,0.9006622516556292,136,Baseline (04),integrated_gradients,0.1215686274509803,0.7908615060057658,0.8897058963775635
P02229,151,0.9006622516556292,136,Baseline (04),random_mean,0.5001078431372549,0.9033137245946472,0.9010294276475906
A0ABQ9KAJ5,138,0.9927536231884058,137,Baseline (04),attention_weights,0.0218978102189781,0.9750017895669872,0.9927007555961608
A0ABQ9KAJ5,138,0.9927536231884058,137,Baseline (04),integrated_gradients,0.0,0.9670942469879116,0.9927007555961608
A0ABQ9KAJ5,138,0.9927536231884058,137,Baseline (04),random_mean,0.4772262773722628,0.9921282340178378,0.9927007555961608
A0ABI7XLA3,134,0.6865671641791045,92,Baseline (04),attention_weights,0.5292443064182195,0.7104960052272548,0.695652186870575
A0ABI7XLA3,134,0.6865671641791045,92,Baseline (04),integrated_gradients,0.568064182194617,0.7522701116951157,0.72826087474823
A0ABI7XLA3,134,0.6865671641791045,92,Baseline (04),random_mean,0.5024948240165632,0.698914328037459,0.6865217536687851
P00630,167,0.8023952095808383,134,Baseline (04),attention_weights,0.2908186341022162,0.6959240980162871,0.7761194109916687
P00630,167,0.8023952095808383,134,Baseline (04),integrated_gradients,0.2819990954319312,0.7105393073198365,0.7686567306518555
